Time,Patch,WWWW,WWWR,WWWB,WWRR,WWRB,WWBB,WHWW,WHWR,WHWB,WHRR,WHRB,WHBB,HHWW,HHWR,HHWB,HHRR,HHRB,HHBB
0,1,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,252.959248858539,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
3,1,255.622572831225,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0
4,1,258.019564406642,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0
5,1,260.176856824517,0,0,0,0,0,0,0,0,0,0,0,145.8,0,0,0,0,0
6,1,262.118420000604,0,0,0,0,0,0,0,0,0,0,0,131.22,0,0,0,0,0
7,1,263.865826859083,0,0,0,0,0,0,0,0,0,0,0,118.098,0,0,0,0,0
8,1,265.438493031714,0,0,0,0,0,0,0,0,0,0,0,106.2882,0,0,0,0,0
9,1,266.853892587082,0,0,0,0,0,0,0,0,0,0,0,95.65938,0,0,0,0,0
10,1,268.127752186913,0,0,0,0,0,0,0,0,0,0,0,86.093442,0,0,0,0,0
11,1,269.274225826761,0,0,0,0,0,0,0,0,0,0,0,277.4840978,0,0,0,0,0
12,1,270.306052102624,0,0,0,0,0,0,0,0,0,0,0,249.73568802,0,0,0,0,0
13,1,271.234695750901,0,0,0,0,0,0,0,0,0,0,0,224.762119218,0,0,0,0,0
14,1,272.031296668613,0,0,0,0,0,0,0,0,0,0,0,202.2859072962,0,0,0,0,0
15,1,272.674166622055,0,0,0,0,0,0,0,0,0,0,0,182.05731656658,0,0,0,0,0
16,1,273.147672542702,0,0,0,0,0,0,0,0,0,0,0,163.851584909922,0,0,0,0,0
17,1,273.441260170161,0,0,0,0,0,0,0,0,0,0,0,147.46642641893,0,0,0,0,0
18,1,273.548604675824,0,0,0,0,0,0,0,0,0,0,0,132.719783777037,0,0,0,0,0
19,1,273.466875025541,0,0,0,0,0,0,0,0,0,0,0,119.447805399333,0,0,0,0,0
20,1,272.840092529886,0,0,0,0,0,0,0,1.3709139684673,0,0,0,107.5030248594,0,0,0,0,0
21,1,271.260029070689,0,0,0,0,0,0,0,3.73443270126512,0,0,0,296.75272237346,0,0,0,0,0
22,1,269.02037485525,0,0,0,0,0,0,0,6.78182677366063,0,0,0,267.077450136114,0,0,0,0,0
23,1,266.359156557303,0,0,0,0,0,0,0,10.2629520364548,0,0,0,240.369705122503,0,0,0,0,0
